timestamp,mem_used_mb,cpu_used_pct
2026-04-24T12:18:11+00:00,4609,17.5
2026-04-24T12:18:16+00:00,4598,4.8
2026-04-24T12:18:21+00:00,4586,17.1
2026-04-24T12:18:27+00:00,4588,5
2026-04-24T12:18:32+00:00,4586,60
2026-04-24T12:18:37+00:00,4587,7.3
2026-04-24T12:18:42+00:00,4620,52.4
2026-04-24T12:18:48+00:00,4773,4.8
2026-04-24T12:18:53+00:00,4770,2.5
2026-04-24T12:18:58+00:00,4768,2.5
2026-04-24T12:19:03+00:00,4712,4.8
2026-04-24T12:19:08+00:00,4652,4.8
2026-04-24T12:19:14+00:00,4659,46.4
2026-04-24T12:19:19+00:00,4726,19
2026-04-24T12:19:24+00:00,4707,4.8
2026-04-24T12:19:29+00:00,4709,4.8
2026-04-24T12:19:35+00:00,4641,4.8
2026-04-24T12:19:40+00:00,4650,18.6
2026-04-24T12:19:45+00:00,4775,7.2
2026-04-24T12:19:50+00:00,4781,4.8
2026-04-24T12:19:55+00:00,4778,2.4
2026-04-24T12:20:01+00:00,4659,4.8
2026-04-24T12:20:06+00:00,4652,7.3
2026-04-24T12:20:11+00:00,4824,43.5
2026-04-24T12:20:16+00:00,4844,17.1
2026-04-24T12:20:22+00:00,4828,16.6
2026-04-24T12:20:27+00:00,4709,10
2026-04-24T12:20:32+00:00,4849,4.8
2026-04-24T12:20:37+00:00,4876,2.4
2026-04-24T12:20:42+00:00,4849,12.2
2026-04-24T12:20:48+00:00,4782,2.4
2026-04-24T12:20:53+00:00,4687,5
2026-04-24T12:20:58+00:00,4705,37.2
2026-04-24T12:21:03+00:00,4706,46.1
2026-04-24T12:21:09+00:00,4704,19.5
2026-04-24T12:21:14+00:00,4696,2.4
2026-04-24T12:21:19+00:00,4700,7.3
2026-04-24T12:21:24+00:00,4649,7.5
2026-04-24T12:21:29+00:00,4827,40
2026-04-24T12:21:35+00:00,4836,2.4
2026-04-24T12:21:40+00:00,4850,17.1
2026-04-24T12:21:45+00:00,4804,2.4
2026-04-24T12:21:50+00:00,4815,9.7
2026-04-24T12:21:56+00:00,4750,4.8
2026-04-24T12:22:01+00:00,4740,4.8
2026-04-24T12:22:06+00:00,4735,11.9
2026-04-24T12:22:11+00:00,4724,7.5
2026-04-24T12:22:16+00:00,4736,9.7
2026-04-24T12:22:22+00:00,4922,7.2
2026-04-24T12:22:27+00:00,4929,7.5
2026-04-24T12:22:32+00:00,4909,4.8
2026-04-24T12:22:37+00:00,4881,7.2
2026-04-24T12:22:43+00:00,4727,9.6
2026-04-24T12:22:48+00:00,4728,7.3
2026-04-24T12:22:53+00:00,4739,36.6
2026-04-24T12:22:58+00:00,4911,12.8
2026-04-24T12:23:03+00:00,4914,39.1
2026-04-24T12:23:09+00:00,4912,26.8
2026-04-24T12:23:14+00:00,4814,5
2026-04-24T12:23:19+00:00,4822,4.8
2026-04-24T12:23:24+00:00,4802,2.4
2026-04-24T12:23:30+00:00,4801,2.5
2026-04-24T12:23:35+00:00,4811,2.4
2026-04-24T12:23:40+00:00,4817,4.8
2026-04-24T12:23:45+00:00,4809,35
2026-04-24T12:23:50+00:00,4813,7.3
2026-04-24T12:23:56+00:00,4813,7.3
2026-04-24T12:24:01+00:00,4826,5
2026-04-24T12:24:06+00:00,4818,26.8
2026-04-24T12:24:11+00:00,4804,25
2026-04-24T12:24:16+00:00,4809,7.2
2026-04-24T12:24:22+00:00,4814,0
2026-04-24T12:24:27+00:00,4761,7.3
2026-04-24T12:24:32+00:00,4765,4.8
2026-04-24T12:24:37+00:00,4763,4.8
2026-04-24T12:24:43+00:00,4759,5
2026-04-24T12:24:48+00:00,4801,15
2026-04-24T12:24:53+00:00,4842,48.8
2026-04-24T12:24:58+00:00,4950,4.8
2026-04-24T12:25:03+00:00,4916,7
2026-04-24T12:25:09+00:00,4940,4.8
2026-04-24T12:25:14+00:00,4875,2.4
2026-04-24T12:25:19+00:00,4806,2.4
2026-04-24T12:25:24+00:00,4810,17.5
2026-04-24T12:25:30+00:00,4821,7.3
2026-04-24T12:25:35+00:00,4820,9.8
2026-04-24T12:25:40+00:00,4826,4.8
2026-04-24T12:25:45+00:00,4815,2.4
2026-04-24T12:25:50+00:00,4822,2.4
2026-04-24T12:25:56+00:00,4810,5
2026-04-24T12:26:01+00:00,4813,4.8
2026-04-24T12:26:06+00:00,4815,9.4
2026-04-24T12:26:11+00:00,4800,5
2026-04-24T12:26:17+00:00,4814,4.8
2026-04-24T12:26:22+00:00,4813,7.3
2026-04-24T12:26:27+00:00,4814,52.5
2026-04-24T12:26:32+00:00,4811,36.6
2026-04-24T12:26:37+00:00,4830,7.3
2026-04-24T12:26:43+00:00,4817,7.3
2026-04-24T12:26:48+00:00,4823,52.5
2026-04-24T12:26:53+00:00,4828,30
2026-04-24T12:26:58+00:00,4833,42.5
2026-04-24T12:27:04+00:00,4823,2.4
2026-04-24T12:27:09+00:00,4819,2.5
2026-04-24T12:27:14+00:00,4823,77.5
2026-04-24T12:27:19+00:00,4822,43.6
2026-04-24T12:27:24+00:00,4824,11.9
2026-04-24T12:27:30+00:00,4838,4.8
2026-04-24T12:27:35+00:00,4832,7.2
2026-04-24T12:27:40+00:00,4830,7.2
2026-04-24T12:27:45+00:00,4813,4.8
2026-04-24T12:27:51+00:00,4823,4.8
2026-04-24T12:27:56+00:00,4832,4.8
2026-04-24T12:28:01+00:00,4818,22
2026-04-24T12:28:06+00:00,4814,4.8
2026-04-24T12:28:11+00:00,4816,2.5
2026-04-24T12:28:17+00:00,4818,2.4
2026-04-24T12:28:22+00:00,4827,55.8
2026-04-24T12:28:27+00:00,4825,9.7
2026-04-24T12:28:32+00:00,4825,7.2
2026-04-24T12:28:37+00:00,4838,4.8
2026-04-24T12:28:43+00:00,4818,2.5
2026-04-24T12:28:48+00:00,4831,7.2
2026-04-24T12:28:53+00:00,4834,42.5
2026-04-24T12:28:58+00:00,4827,4.8
2026-04-24T12:29:04+00:00,4825,12.5
2026-04-24T12:29:09+00:00,4834,7.3
2026-04-24T12:29:14+00:00,4834,38.5
2026-04-24T12:29:19+00:00,4840,2.4
2026-04-24T12:29:24+00:00,4831,5
2026-04-24T12:29:30+00:00,4833,2.4
2026-04-24T12:29:35+00:00,4837,9.5
2026-04-24T12:29:40+00:00,4833,2.5
2026-04-24T12:29:45+00:00,4826,4.8
2026-04-24T12:29:51+00:00,4824,2.4
2026-04-24T12:29:56+00:00,4837,37.5
2026-04-24T12:30:01+00:00,4798,77.5
2026-04-24T12:30:06+00:00,4803,21.9
2026-04-24T12:30:11+00:00,4807,4.8
2026-04-24T12:30:17+00:00,4801,9.7
2026-04-24T12:30:22+00:00,4808,77.5
2026-04-24T12:30:27+00:00,4807,24.4
2026-04-24T12:30:32+00:00,4807,7
2026-04-24T12:30:38+00:00,4822,4.8
2026-04-24T12:30:43+00:00,4807,2.4
2026-04-24T12:30:48+00:00,4817,12.2
2026-04-24T12:30:53+00:00,4802,4.8
2026-04-24T12:30:58+00:00,4813,5.2
2026-04-24T12:31:04+00:00,4815,2.5
2026-04-24T12:31:09+00:00,4817,4.8
2026-04-24T12:31:14+00:00,4804,2.5
2026-04-24T12:31:19+00:00,4817,4.8
2026-04-24T12:31:25+00:00,4824,5
2026-04-24T12:31:30+00:00,4819,2.4
2026-04-24T12:31:35+00:00,4816,2.4
2026-04-24T12:31:40+00:00,4819,2.4
2026-04-24T12:31:45+00:00,4810,2.4
2026-04-24T12:31:51+00:00,4817,2.4
2026-04-24T12:31:56+00:00,4822,9.7
2026-04-24T12:32:01+00:00,4821,9.8
2026-04-24T12:32:06+00:00,4810,39.1
2026-04-24T12:32:12+00:00,4963,7.2
2026-04-24T12:32:17+00:00,4969,4.8
2026-04-24T12:32:22+00:00,4966,35.9
2026-04-24T12:32:27+00:00,4942,30.9
2026-04-24T12:32:32+00:00,4935,10
2026-04-24T12:32:38+00:00,4933,2.4
2026-04-24T12:32:43+00:00,4757,2.5
2026-04-24T12:32:48+00:00,4761,4.8
2026-04-24T12:32:53+00:00,4753,2.5
2026-04-24T12:32:59+00:00,4764,7.3
2026-04-24T12:33:04+00:00,4753,35.9
2026-04-24T12:33:09+00:00,4768,2.5
2026-04-24T12:33:14+00:00,4761,4.9
2026-04-24T12:33:19+00:00,4772,2.5
2026-04-24T12:33:25+00:00,4762,39
2026-04-24T12:33:30+00:00,4775,4.8
2026-04-24T12:33:35+00:00,4774,4.8
2026-04-24T12:33:40+00:00,4777,12.2
2026-04-24T12:33:45+00:00,4777,45
2026-04-24T12:33:51+00:00,4952,27.5
2026-04-24T12:33:56+00:00,4964,9.7
2026-04-24T12:34:01+00:00,4960,51.2
2026-04-24T12:34:06+00:00,4917,19.5
2026-04-24T12:34:12+00:00,4906,38.1
2026-04-24T12:34:17+00:00,4855,37.5
2026-04-24T12:34:22+00:00,4857,41.1
2026-04-24T12:34:27+00:00,4849,9.5
2026-04-24T12:34:32+00:00,4853,32.6
2026-04-24T12:34:38+00:00,4847,17.5
2026-04-24T12:34:43+00:00,4827,2.4
2026-04-24T12:34:48+00:00,4842,2.4
2026-04-24T12:34:53+00:00,4849,9.6
2026-04-24T12:34:59+00:00,4867,2.5
2026-04-24T12:35:04+00:00,4887,7
2026-04-24T12:35:09+00:00,4887,0
